Dream,Title,Sentiment,Sentiment_Score,Emotion,Word_Count,Season,Dominant_Activity,Cluster,Cluster_Name,Lucid,Date,Symbols,Anxiety_Category
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.22,Fear,21,Spring,Running,0,Performance Anxiety,No,2025-10-07,"monster, forest, chased, running, shadow",Loss of Control
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Negative,-0.16,Sadness,23,Fall,Talking,2,Relational Connection,No,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.44,Surprise,25,Summer,Talking,2,Relational Connection,Yes,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.59,Joy,22,Summer,Flying,3,Flight & Escape,No,2025-10-07,"flying, ocean, water, sky",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.46,Anger,19,Summer,Running,0,Performance Anxiety,No,2025-10-07,"exam, schools, maze, late, corridors",Career Uncertainty
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.76,Fear,22,Summer,Running,0,Performance Anxiety,Yes,2025-10-07,"monster, forest, chased, running, shadow",Loss of Control
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.63,Fear,17,Winter,Observing,1,Existential Transformation,No,2025-10-07,"teeth, falling, mirror, body",Identity Transformation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.85,Fear,22,Summer,Falling,3,Flight & Escape,No,2025-10-07,"falling, building, skyscraper, heights",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.71,Fear,21,Winter,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.58,Fear,22,Fall,Falling,3,Flight & Escape,No,2025-10-07,"falling, building, skyscraper, heights",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.45,Sadness,27,Spring,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.26,Fear,22,Fall,Observing,1,Existential Transformation,No,2025-10-07,"teeth, falling, mirror, body",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.18,Fear,22,Fall,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.21,Fear,15,Winter,Falling,3,Flight & Escape,Yes,2025-10-07,"falling, building, skyscraper, heights",Loss of Control
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.62,Fear,24,Fall,Observing,1,Existential Transformation,No,2025-10-07,"teeth, falling, mirror, body",Identity Transformation
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Positive,0.63,Joy,17,Summer,Observing,1,Existential Transformation,No,2025-10-07,"room, crying, lost, death, empty",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.84,Anger,24,Spring,Running,0,Performance Anxiety,Yes,2025-10-07,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Neutral,-0.09,Neutral,20,Winter,Talking,2,Relational Connection,Yes,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.79,Surprise,19,Winter,Talking,2,Relational Connection,No,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.9,Surprise,25,Summer,Talking,2,Relational Connection,No,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.21,Fear,17,Summer,Observing,1,Existential Transformation,Yes,2025-10-07,"teeth, falling, mirror, body",Identity Transformation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.45,Fear,14,Winter,Falling,3,Flight & Escape,No,2025-10-07,"falling, building, skyscraper, heights",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Positive,0.64,Joy,25,Spring,Observing,1,Existential Transformation,No,2025-10-07,"room, crying, lost, death, empty",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Neutral,-0.04,Neutral,15,Spring,Running,0,Performance Anxiety,No,2025-10-07,"trains, car, brakes, mountain, speed",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.4,Sadness,21,Spring,Observing,1,Existential Transformation,No,2025-10-07,"room, crying, lost, death, empty",Social Isolation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.67,Fear,29,Spring,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Positive,0.78,Surprise,27,Fall,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.42,Fear,26,Spring,Running,0,Performance Anxiety,No,2025-10-07,"monster, forest, chased, running, shadow",Loss of Control
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.22,Fear,17,Winter,Running,0,Performance Anxiety,No,2025-10-07,"monster, forest, chased, running, shadow",Loss of Control
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.58,Joy,17,Winter,Flying,3,Flight & Escape,Yes,2025-10-07,"flying, ocean, water, sky",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.89,Anger,19,Fall,Running,0,Performance Anxiety,Yes,2025-10-07,"exam, schools, maze, late, corridors",Career Uncertainty
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.56,Sadness,24,Summer,Running,0,Performance Anxiety,Yes,2025-10-07,"monster, forest, chased, running, shadow",Loss of Control
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Negative,-0.22,Anger,11,Fall,Flying,3,Flight & Escape,Yes,2025-10-07,"flying, ocean, water, sky",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.42,Fear,28,Winter,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.72,Fear,18,Summer,Observing,0,Performance Anxiety,No,2025-10-07,"exams, schools, test, classroom",Academic Pressure
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.77,Joy,16,Summer,Talking,2,Relational Connection,No,2025-10-07,"coffee, talking, celebrity, friend",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.78,Anger,17,Summer,Running,0,Performance Anxiety,No,2025-10-07,"exam, schools, maze, late, corridors",Career Uncertainty
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Neutral,0.24,Neutral,22,Spring,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.93,Anger,21,Spring,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.8,Fear,16,Summer,Running,0,Performance Anxiety,No,2025-10-08,"monster, forest, chased, running, shadow",Loss of Control
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.88,Joy,21,Winter,Flying,3,Flight & Escape,No,2025-10-08,"flying, ocean, water, sky",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.63,Anger,14,Winter,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.9,Surprise,18,Spring,Talking,2,Relational Connection,No,2025-10-08,"coffee, talking, celebrity, friend",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.76,Joy,15,Summer,Flying,3,Flight & Escape,Yes,2025-10-08,"flying, ocean, water, sky",Identity Transformation
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.82,Fear,15,Winter,Observing,1,Existential Transformation,Yes,2025-10-08,"teeth, falling, mirror, body",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Negative,-0.79,Anger,21,Fall,Talking,2,Relational Connection,No,2025-10-08,"garden, family, partners, talking, flowers",Relationship Instability
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Negative,-0.32,Sadness,18,Summer,Flying,3,Flight & Escape,No,2025-10-08,"flying, ocean, water, sky",Identity Transformation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.81,Anger,16,Spring,Running,0,Performance Anxiety,Yes,2025-10-08,"trains, car, brakes, mountain, speed",Career Uncertainty
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.56,Fear,24,Winter,Observing,0,Performance Anxiety,No,2025-10-08,"exams, schools, test, classroom",Academic Pressure
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.2,Anger,23,Winter,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.19,Sadness,25,Fall,Observing,1,Existential Transformation,No,2025-10-08,"room, crying, lost, death, empty",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.63,Anger,21,Winter,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.3,Fear,16,Fall,Observing,1,Existential Transformation,No,2025-10-08,"teeth, falling, mirror, body",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Negative,-0.2,Fear,18,Fall,Talking,2,Relational Connection,No,2025-10-08,"coffee, talking, celebrity, friend",Social Isolation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.82,Fear,19,Fall,Running,0,Performance Anxiety,No,2025-10-08,"monster, forest, chased, running, shadow",Loss of Control
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.8,Fear,15,Fall,Falling,3,Flight & Escape,Yes,2025-10-08,"falling, building, skyscraper, heights",Loss of Control
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.52,Anger,18,Spring,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.68,Anger,21,Summer,Observing,0,Performance Anxiety,Yes,2025-10-08,"exams, schools, test, classroom",Academic Pressure
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.97,Joy,24,Fall,Talking,2,Relational Connection,No,2025-10-08,"garden, family, partners, talking, flowers",Relationship Instability
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.38,Anger,19,Fall,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.25,Fear,26,Fall,Observing,1,Existential Transformation,No,2025-10-08,"teeth, falling, mirror, body",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Positive,0.82,Surprise,24,Fall,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.71,Fear,21,Summer,Falling,3,Flight & Escape,No,2025-10-08,"falling, building, skyscraper, heights",Loss of Control
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Neutral,-0.06,Neutral,27,Summer,Running,0,Performance Anxiety,No,2025-10-08,"monster, forest, chased, running, shadow",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Positive,0.79,Surprise,26,Fall,Observing,0,Performance Anxiety,No,2025-10-08,"exams, schools, test, classroom",Academic Pressure
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.94,Joy,22,Fall,Talking,2,Relational Connection,No,2025-10-08,"coffee, talking, celebrity, friend",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.17,Sadness,20,Winter,Running,0,Performance Anxiety,No,2025-10-08,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.7,Fear,18,Winter,Observing,1,Existential Transformation,Yes,2025-10-08,"teeth, falling, mirror, body",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.8,Surprise,20,Fall,Talking,2,Relational Connection,No,2025-10-08,"coffee, talking, celebrity, friend",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.75,Fear,21,Summer,Running,0,Performance Anxiety,No,2025-10-08,"trains, car, brakes, mountain, speed",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.59,Sadness,22,Summer,Observing,1,Existential Transformation,No,2025-10-09,"room, crying, lost, death, empty",Social Isolation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.92,Joy,19,Spring,Talking,2,Relational Connection,No,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.86,Joy,26,Winter,Talking,2,Relational Connection,No,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.55,Joy,21,Summer,Talking,2,Relational Connection,Yes,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.49,Joy,21,Spring,Flying,3,Flight & Escape,No,2025-10-09,"flying, ocean, water, sky",Identity Transformation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.84,Surprise,17,Spring,Talking,2,Relational Connection,Yes,2025-10-09,"coffee, talking, celebrity, friend",Social Isolation
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.16,Fear,22,Fall,Observing,1,Existential Transformation,No,2025-10-09,"teeth, falling, mirror, body",Identity Transformation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.39,Anger,19,Fall,Running,0,Performance Anxiety,Yes,2025-10-09,"monster, forest, chased, running, shadow",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Neutral,0.25,Neutral,20,Spring,Observing,1,Existential Transformation,No,2025-10-09,"room, crying, lost, death, empty",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.4,Fear,16,Winter,Running,0,Performance Anxiety,No,2025-10-09,"trains, car, brakes, mountain, speed",Career Uncertainty
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.65,Joy,19,Winter,Talking,2,Relational Connection,No,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.73,Fear,18,Summer,Falling,3,Flight & Escape,No,2025-10-09,"falling, building, skyscraper, heights",Loss of Control
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.54,Anger,25,Summer,Running,0,Performance Anxiety,No,2025-10-09,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Neutral,0.07,Neutral,23,Summer,Talking,2,Relational Connection,No,2025-10-09,"coffee, talking, celebrity, friend",Social Isolation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.85,Surprise,21,Summer,Talking,2,Relational Connection,No,2025-10-09,"coffee, talking, celebrity, friend",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.18,Fear,19,Spring,Falling,3,Flight & Escape,Yes,2025-10-09,"falling, building, skyscraper, heights",Loss of Control
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.75,Joy,20,Summer,Flying,3,Flight & Escape,No,2025-10-09,"flying, ocean, water, sky",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.97,Surprise,23,Winter,Talking,2,Relational Connection,No,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.55,Anger,25,Fall,Running,0,Performance Anxiety,No,2025-10-09,"exam, schools, maze, late, corridors",Career Uncertainty
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.94,Joy,26,Summer,Talking,2,Relational Connection,No,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Negative,-0.57,Fear,14,Spring,Flying,3,Flight & Escape,No,2025-10-09,"flying, ocean, water, sky",Identity Transformation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.38,Fear,23,Winter,Running,0,Performance Anxiety,No,2025-10-09,"monster, forest, chased, running, shadow",Loss of Control
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.59,Fear,19,Summer,Running,0,Performance Anxiety,No,2025-10-09,"trains, car, brakes, mountain, speed",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.62,Anger,23,Fall,Falling,3,Flight & Escape,Yes,2025-10-09,"falling, building, skyscraper, heights",Loss of Control
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.84,Fear,22,Winter,Running,0,Performance Anxiety,No,2025-10-09,"trains, car, brakes, mountain, speed",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.92,Surprise,25,Summer,Talking,2,Relational Connection,No,2025-10-09,"coffee, talking, celebrity, friend",Social Isolation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.55,Fear,20,Winter,Observing,0,Performance Anxiety,No,2025-10-09,"exams, schools, test, classroom",Academic Pressure
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.88,Joy,11,Winter,Flying,3,Flight & Escape,No,2025-10-09,"flying, ocean, water, sky",Identity Transformation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.89,Anger,26,Summer,Running,0,Performance Anxiety,No,2025-10-09,"monster, forest, chased, running, shadow",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.94,Sadness,25,Summer,Observing,1,Existential Transformation,No,2025-10-09,"room, crying, lost, death, empty",Social Isolation
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.44,Fear,19,Fall,Falling,3,Flight & Escape,No,2025-10-09,"falling, building, skyscraper, heights",Loss of Control
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.73,Fear,18,Fall,Falling,3,Flight & Escape,Yes,2025-10-09,"falling, building, skyscraper, heights",Loss of Control
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.42,Fear,28,Summer,Observing,0,Performance Anxiety,No,2025-10-09,"exams, schools, test, classroom",Academic Pressure
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Negative,-0.9,Anger,20,Fall,Talking,2,Relational Connection,Yes,2025-10-09,"garden, family, partners, talking, flowers",Relationship Instability
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.17,Anger,24,Summer,Running,0,Performance Anxiety,No,2025-10-10,"exam, schools, maze, late, corridors",Career Uncertainty
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Positive,0.47,Surprise,24,Fall,Observing,1,Existential Transformation,No,2025-10-10,"room, crying, lost, death, empty",Social Isolation
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.56,Fear,21,Spring,Observing,1,Existential Transformation,No,2025-10-10,"teeth, falling, mirror, body",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.44,Anger,14,Spring,Running,0,Performance Anxiety,No,2025-10-10,"exam, schools, maze, late, corridors",Career Uncertainty
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.51,Joy,18,Spring,Talking,2,Relational Connection,No,2025-10-10,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Negative,-0.87,Fear,18,Spring,Talking,2,Relational Connection,No,2025-10-10,"garden, family, partners, talking, flowers",Relationship Instability
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Negative,-0.33,Sadness,23,Summer,Talking,2,Relational Connection,No,2025-10-10,"coffee, talking, celebrity, friend",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.55,Fear,21,Summer,Running,0,Performance Anxiety,Yes,2025-10-10,"trains, car, brakes, mountain, speed",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.64,Surprise,15,Summer,Talking,2,Relational Connection,No,2025-10-10,"coffee, talking, celebrity, friend",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.25,Fear,15,Summer,Running,0,Performance Anxiety,Yes,2025-10-10,"trains, car, brakes, mountain, speed",Career Uncertainty
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.57,Joy,12,Fall,Flying,3,Flight & Escape,No,2025-10-10,"flying, ocean, water, sky",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.58,Joy,21,Summer,Talking,2,Relational Connection,No,2025-10-10,"garden, family, partners, talking, flowers",Relationship Instability
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.43,Surprise,16,Spring,Talking,2,Relational Connection,Yes,2025-10-10,"coffee, talking, celebrity, friend",Social Isolation
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.4,Fear,21,Winter,Running,0,Performance Anxiety,No,2025-10-10,"trains, car, brakes, mountain, speed",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.36,Fear,25,Spring,Observing,1,Existential Transformation,No,2025-10-10,"teeth, falling, mirror, body",Identity Transformation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.7,Anger,15,Summer,Running,0,Performance Anxiety,No,2025-10-10,"exam, schools, maze, late, corridors",Career Uncertainty
My teeth suddenly started crumbling and falling out out of nowhere while I was looking in a mirror.,Unexpected Dental Loss in Mirror,Negative,-0.33,Fear,20,Summer,Observing,1,Existential Transformation,No,2025-10-10,"teeth, falling, mirror, body",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.92,Joy,21,Winter,Talking,2,Relational Connection,No,2025-10-10,"garden, family, partners, talking, flowers",Relationship Instability
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Positive,0.5,Surprise,15,Fall,Running,0,Performance Anxiety,Yes,2025-10-10,"trains, car, brakes, mountain, speed",Career Uncertainty
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.43,Fear,18,Spring,Running,0,Performance Anxiety,No,2025-10-10,"exam, schools, maze, late, corridors",Career Uncertainty
